OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,OBJECTID_1,FID_1,cod_icao,nm_municip,TipoAero,nome,largura_m,num_pista,uf,altitude,extensao,cod_uso,pavimento,GEOCODIGO,Shape_Leng,Shape_Area
48,0,48,140,Nordeste,NA,Praia do Meio,-9.824446999999999,-35.877803000000000,NA,NA,NA,NA,NA,10000.000000000000000,48,48,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
49,0,49,141,Nordeste,NA,Praia do Pontal,-9.682589999999999,-35.758536999999997,NA,NA,NA,NA,NA,10000.000000000000000,49,49,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
50,0,50,142,Nordeste,NA,Salgema,-9.679629000000000,-35.718974000000003,NA,NA,NA,NA,NA,10000.000000000000000,50,50,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
51,0,51,143,Nordeste,NA,Pier do Emissario,-9.673301000000000,-35.715234000000002,NA,NA,NA,NA,NA,10000.000000000000000,51,51,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
52,0,52,144,Nordeste,NA,Praia do Sobral,-9.666869000000000,-35.710735000000000,NA,NA,NA,NA,NA,10000.000000000000000,52,52,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
53,0,53,145,Nordeste,NA,"Pico da Barra, Brazil",-9.665630000000000,-35.697186000000002,NA,NA,NA,NA,NA,10000.000000000000000,53,53,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
54,0,54,146,Nordeste,NA,Pedra Virada,-9.585521999999999,-35.660038000000000,NA,NA,NA,NA,NA,10000.000000000000000,54,54,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
55,0,55,147,Nordeste,NA,Praia de Jatiuca,-9.531449000000000,-35.590927999999998,NA,NA,NA,NA,NA,10000.000000000000000,55,55,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
56,0,56,148,Nordeste,NA,Garca Torta,-9.487114000000000,-35.557476999999999,NA,NA,NA,NA,NA,10000.000000000000000,56,56,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
57,0,57,149,Nordeste,NA,Mirante da Sirena,-9.430906000000000,-35.503683000000002,NA,NA,NA,NA,NA,10000.000000000000000,57,57,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
58,0,58,150,Nordeste,NA,Japaratinga,-9.261582000000001,-35.353366000000001,NA,NA,NA,NA,NA,10000.000000000000000,58,58,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
59,0,59,151,Nordeste,NA,Impossivel,-8.615505000000001,-35.020375000000001,NA,NA,NA,NA,NA,10000.000000000000000,59,59,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
60,0,60,152,Nordeste,NA,Serrambi,-8.576358000000001,-35.028714999999998,NA,NA,NA,NA,NA,10000.000000000000000,60,60,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
61,0,61,153,Nordeste,NA,Porto de Galinhas,-8.488678000000000,-34.999501000000002,NA,NA,NA,NA,NA,10000.000000000000000,61,61,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
62,0,62,154,Nordeste,NA,Cupe,-8.479708000000000,-34.996577000000002,NA,NA,NA,NA,NA,10000.000000000000000,62,62,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
63,0,63,155,Nordeste,NA,Gaibu,-8.341567000000000,-34.948825999999997,NA,NA,NA,NA,NA,10000.000000000000000,63,63,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
