OBJECTID,id,region,zone,name,lat,long,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,SUM_Length
41,40,Sudeste,NA,Pereque-Acu,-23.424565000000001,-45.062697000000000,10000.000000000000000,41,62831.853071795863798,314159265.358979284763336,479.786964848058972
42,41,Sudeste,NA,Itamambuca,-23.406683000000001,-45.008741000000001,10000.000000000000000,42,62831.853071795863798,314159265.358979284763336,343.238378844511999
43,42,Sudeste,NA,Praia da Fazenda,-23.361352000000000,-44.859766000000000,10000.000000000000000,43,62831.853071795863798,314159265.358979284763336,103.467190355721996
44,43,Sudeste,NA,Aventureiro,-23.184405999999999,-44.315804000000000,10000.000000000000000,44,62831.853071795863798,314159265.358979284763336,57.824962948951999
45,44,Sudeste,NA,Praia do Leste,-23.179746000000002,-44.274093999999998,10000.000000000000000,45,62831.853071795863798,314159265.358979284763336,75.496999640106097
46,45,Sudeste,NA,Praia do Sul,-23.178656000000000,-44.296756999999999,10000.000000000000000,46,62831.853071795863798,314159265.358979284763336,65.156812635202598
47,46,Sudeste,NA,Praia do Meio,-23.066913000000000,-43.549809000000003,10000.000000000000000,47,62831.853071795863798,314159265.358979284763336,439.065372929147998
48,47,Sudeste,NA,Restinga a Marambaia,-23.061833000000000,-43.591673000000000,10000.000000000000000,48,62831.853071795863798,314159265.358979284763336,394.642551986678995
49,48,Sudeste,NA,Grumari,-23.050469000000000,-43.533907999999997,10000.000000000000000,49,62831.853071795863798,314159265.358979284763336,702.452571933465947
50,49,Sudeste,NA,Reserva,-23.022717000000000,-43.440916000000001,10000.000000000000000,50,62831.853071795863798,314159265.358979284763336,1434.154021111610064
51,50,Sudeste,NA,Barra da Tijuca,-23.020340120000000,-43.372478489999999,10000.000000000000000,51,62831.853071795863798,314159265.358979284763336,1761.015801261060005
52,51,Sudeste,NA,Barra da Tijuca,-23.014886109999999,-43.372222219999998,10000.000000000000000,52,62831.853071795863798,314159265.358979284763336,1872.405160493219910
53,52,Sudeste,NA,Sao Conrado,-23.000617999999999,-43.264187000000000,10000.000000000000000,53,62831.853071795863798,314159265.358979284763336,1242.863269268970043
54,53,Sudeste,NA,Bambui,-22.975255000000001,-42.916570000000000,10000.000000000000000,54,62831.853071795863798,314159265.358979284763336,873.712424945558951
55,54,Sudeste,NA,Itaipuacu,-22.971149000000000,-43.011260000000000,10000.000000000000000,55,62831.853071795863798,314159265.358979284763336,1105.780271257980075
56,55,Sudeste,NA,Barra de Marica,-22.962100000000000,-42.809486999999997,10000.000000000000000,56,62831.853071795863798,314159265.358979284763336,823.984563274854963
57,56,Sudeste,NA,Camboinhas,-22.961998000000001,-43.059922999999998,10000.000000000000000,57,62831.853071795863798,314159265.358979284763336,1097.914126438279936
58,57,Sudeste,NA,Pirantininga,-22.955044999999998,-43.088653999999998,10000.000000000000000,58,62831.853071795863798,314159265.358979284763336,1256.549364144060064
59,58,Sudeste,NA,Jacone,-22.946556000000001,-42.679789000000000,10000.000000000000000,59,62831.853071795863798,314159265.358979284763336,462.128211001005980
60,59,Sudeste,NA,Figueira,-22.944991999999999,-42.188828000000001,10000.000000000000000,60,62831.853071795863798,314159265.358979284763336,175.457682065411007
61,60,Sudeste,NA,Praia do Fora,-22.944794000000002,-43.155304000000001,10000.000000000000000,61,62831.853071795863798,314159265.358979284763336,1813.423011326930009
62,61,Sudeste,NA,Laje do Pao de Acucar,-22.938409000000000,-43.151797000000002,10000.000000000000000,62,62831.853071795863798,314159265.358979284763336,1893.845628988319959
63,62,Sudeste,NA,Canal,-22.937418999999998,-42.487813000000003,10000.000000000000000,63,62831.853071795863798,314159265.358979284763336,721.617895940001972
64,63,Sudeste,NA,Praia Seca,-22.936126000000002,-42.361598000000001,10000.000000000000000,64,62831.853071795863798,314159265.358979284763336,849.275679936951974
65,64,Sudeste,NA,Caravelas,-22.814850000000000,-41.953901999999999,10000.000000000000000,65,62831.853071795863798,314159265.358979284763336,917.186523578736001
66,65,Sudeste,NA,Tucuns,-22.799863999999999,-41.929282000000001,10000.000000000000000,66,62831.853071795863798,314159265.358979284763336,673.966721117589032
67,66,Sudeste,NA,Praia Brava,-22.754252000000001,-41.872608999999997,10000.000000000000000,67,62831.853071795863798,314159265.358979284763336,328.061356479619974
68,67,Sudeste,NA,Marataizes,-21.044882999999999,-40.827455999999998,10000.000000000000000,68,62831.853071795863798,314159265.358979284763336,662.594998507853006
69,68,Sudeste,NA,Ponta do Ubu,-20.793246000000000,-40.579551000000002,10000.000000000000000,69,62831.853071795863798,314159265.358979284763336,418.745171909331020
70,69,Sudeste,NA,Ponta dos Castelhanos,-20.755085000000001,-40.560755000000000,10000.000000000000000,70,62831.853071795863798,314159265.358979284763336,426.174463900948012
71,70,Sudeste,NA,Maimba,-20.707021999999998,-40.514367999999997,10000.000000000000000,71,62831.853071795863798,314159265.358979284763336,646.623003862840051
72,71,Sudeste,NA,Praia do Morro,-20.659787999999999,-40.493842999999998,10000.000000000000000,72,62831.853071795863798,314159265.358979284763336,792.705940253969970
73,72,Sudeste,NA,Ponta de Bororo,-20.614518000000000,-40.415382000000001,10000.000000000000000,73,62831.853071795863798,314159265.358979284763336,526.288864379743018
74,73,Sudeste,NA,Tropical,-20.559543999999999,-40.391810000000000,10000.000000000000000,74,62831.853071795863798,314159265.358979284763336,521.703741067654960
75,74,Sudeste,NA,Dunas de Ule,-20.542100000000001,-40.379860999999998,10000.000000000000000,75,62831.853071795863798,314159265.358979284763336,489.671257985388024
76,75,Sudeste,NA,Guarapari - Ule,-20.541319000000001,-40.378385999999999,10000.000000000000000,76,62831.853071795863798,314159265.358979284763336,487.573864674391018
77,76,Sudeste,NA,Ponta da Fruta,-20.516836999999999,-40.358133000000002,10000.000000000000000,77,62831.853071795863798,314159265.358979284763336,650.295961522086031
78,77,Sudeste,NA,Coral Dois,-20.448948000000001,-40.330300000000001,10000.000000000000000,78,62831.853071795863798,314159265.358979284763336,977.737529810984029
79,78,Sudeste,NA,Ponta da Belina,-20.445827000000001,-40.329245000000000,10000.000000000000000,79,62831.853071795863798,314159265.358979284763336,1019.868741577069954
80,79,Sudeste,NA,Coral Um,-20.437659000000000,-40.326006999999997,10000.000000000000000,80,62831.853071795863798,314159265.358979284763336,1139.690360461089995
81,80,Sudeste,NA,"Barrao, Brazil",-20.427381000000000,-40.320982000000001,10000.000000000000000,81,62831.853071795863798,314159265.358979284763336,1378.073173337460048
82,81,Sudeste,NA,Barrinha,-20.422540999999999,-40.321933999999999,10000.000000000000000,82,62831.853071795863798,314159265.358979284763336,1526.095099691970063
83,82,Sudeste,NA,Praia de Camburi,-20.279677000000000,-40.248994000000003,10000.000000000000000,83,62831.853071795863798,314159265.358979284763336,1756.919550410169904
84,83,Sudeste,NA,Velzyland,-20.244838999999999,-40.216205000000002,10000.000000000000000,84,62831.853071795863798,314159265.358979284763336,1442.344700533439891
85,84,Sudeste,NA,Ponta da Cacao,-20.219573000000000,-40.196268000000003,10000.000000000000000,85,62831.853071795863798,314159265.358979284763336,1429.019153110270054
86,85,Sudeste,NA,"Manguinhos, Brazil",-20.199344000000000,-40.190266999999999,10000.000000000000000,86,62831.853071795863798,314159265.358979284763336,1424.447590051930092
87,86,Sudeste,NA,Praia da Baleia,-20.171105000000001,-40.184866000000000,10000.000000000000000,87,62831.853071795863798,314159265.358979284763336,1287.177399038869908
