OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,AREA_KM2,F1970,F1980,F1991,F2000,F2010,Shape_Leng,Shape_Area,pop_change,Shape_Le_1,Shape_Ar_1
21,4,21,20,Sudeste,NA,Santos,-24.015000000000001,-46.353999999999999,10000.000000000000000,21,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,0.000000000000000,0.000000000000000,25940.000000000000000,62831.853071795863798,314159265.358979284763336
22,2,22,21,Sudeste,NA,Morro do Maluf,-23.997560000000000,-46.251593999999997,10000.000000000000000,22,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,0.000000000000000,0.000000000000000,25940.000000000000000,62831.853071795863798,314159265.358979284763336
23,2,23,22,Sudeste,NA,Praia da Enseada,-23.990651000000000,-46.209406000000001,10000.000000000000000,23,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,0.000000000000000,0.000000000000000,25940.000000000000000,62831.853071795863798,314159265.358979284763336
24,5,24,23,Sudeste,NA,Embare,-23.980865999999999,-46.317684000000000,10000.000000000000000,24,3513504,Cubatão,SP,142.878999999999991,50906.000000000000000,78631.000000000000000,91136.000000000000000,108309.000000000000000,118720.000000000000000,0.000000000000000,0.000000000000000,10411.000000000000000,62831.853071795863798,314159265.358979284763336
25,5,25,24,Sudeste,NA,Gonzaga,-23.974027000000000,-46.330098000000000,10000.000000000000000,25,3513504,Cubatão,SP,142.878999999999991,50906.000000000000000,78631.000000000000000,91136.000000000000000,108309.000000000000000,118720.000000000000000,0.000000000000000,0.000000000000000,10411.000000000000000,62831.853071795863798,314159265.358979284763336
26,3,26,25,Sudeste,NA,Pereque,-23.927582999999998,-46.178826000000001,10000.000000000000000,26,3506359,Bertioga,SP,491.545999999999992,0.000000000000000,0.000000000000000,0.000000000000000,30039.000000000000000,47645.000000000000000,0.000000000000000,0.000000000000000,17606.000000000000000,62831.853071795863798,314159265.358979284763336
27,3,27,26,Sudeste,NA,Praia Preta,-23.874700000000001,-46.138959000000000,10000.000000000000000,27,3506359,Bertioga,SP,491.545999999999992,0.000000000000000,0.000000000000000,0.000000000000000,30039.000000000000000,47645.000000000000000,0.000000000000000,0.000000000000000,17606.000000000000000,62831.853071795863798,314159265.358979284763336
28,3,28,27,Sudeste,NA,Praia da Bertioga,-23.846986000000001,-46.126967999999998,10000.000000000000000,28,3506359,Bertioga,SP,491.545999999999992,0.000000000000000,0.000000000000000,0.000000000000000,30039.000000000000000,47645.000000000000000,0.000000000000000,0.000000000000000,17606.000000000000000,62831.853071795863798,314159265.358979284763336
29,2,29,28,Sudeste,NA,Maresias,-23.793693260000001,-45.559764340000001,10000.000000000000000,29,3510500,Caraguatatuba,SP,484.947000000000003,15073.000000000000000,33802.000000000000000,52878.000000000000000,78921.000000000000000,100840.000000000000000,0.000000000000000,0.000000000000000,21919.000000000000000,62831.853071795863798,314159265.358979284763336
30,2,30,29,Sudeste,NA,Canto de Moreira,-23.793056000000000,-45.587394000000003,10000.000000000000000,30,3510500,Caraguatatuba,SP,484.947000000000003,15073.000000000000000,33802.000000000000000,52878.000000000000000,78921.000000000000000,100840.000000000000000,0.000000000000000,0.000000000000000,21919.000000000000000,62831.853071795863798,314159265.358979284763336
