OBJECTID,Name,Lat,Lon,Zone,Surf_Spot,Surfline_n,Quality__0,Frequency_,Direction,Type,Experience,Latitude,Longitude,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,SUM_Area_S,ramsar_per
167,Xoxoline,-6.005800000000000,-35.105258999999997, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,166,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
168,Pirangi Reef,-5.980259000000000,-35.107796000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,167,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
169,Cotovelo,-5.949906000000000,-35.151975000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,168,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
170,Miami,-5.794834000000000,-35.181663999999998, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,169,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
171,Areia Preta,-5.792249000000000,-35.184387000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,170,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
172,Praia dos Artistas,-5.781239000000000,-35.192050000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,171,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
173,Genipabu,-5.694407000000000,-35.201922000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,172,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
174,Touros Area,-5.197434000000000,-35.457929999999998, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,173,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
175,Urca da Concei&ccedil;&atilde;o,-5.069617000000000,-35.800230999999997, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,174,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
176,Cocoa das Lavadeiras,-5.066515000000000,-35.862005000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,175,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
177,Baia das Ratas,-3.813000000000000,-32.393000000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,176,62831.853071795863798,314159265.358979284763336,93.522952355697797,0.297692803199143
178,Volta da Jurema,-3.724294000000000,-38.496071999999998, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,177,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
179,Portao,-3.719326000000000,-38.510655000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,178,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
180,Barra do Ceara,-3.692659000000000,-38.584716000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,179,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
