OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,sum_Length_KILOMETERS,Polyline_Count
80,88,Sudeste,NA,Xa,-20.107229000000000,-40.171174999999998,NA,NA,NA,NA,NA,10000.000000000000000,80,62831.853071795863798,314159265.358979284763336,788.582982184631760,4165
81,89,Sudeste,NA,Nova Almeida,-20.058461999999999,-40.183000999999997,NA,NA,NA,NA,NA,10000.000000000000000,81,62831.853071795863798,314159265.358979284763336,545.248431332382779,2066
82,90,Sudeste,NA,Praia Grande,-20.047100000000000,-40.182743000000002,NA,NA,NA,NA,NA,10000.000000000000000,82,62831.853071795863798,314159265.358979284763336,473.563131586764030,1708
83,91,Sudeste,NA,Regencia,-19.562811000000000,-39.764263999999997,NA,NA,NA,NA,NA,10000.000000000000000,83,62831.853071795863798,314159265.358979284763336,76.522321199035190,119
84,92,Sudeste,NA,Guriri,-18.910750000000000,-39.738563999999997,NA,NA,NA,NA,NA,10000.000000000000000,84,62831.853071795863798,314159265.358979284763336,80.370250949087918,77
85,329,Sudeste,Sao Paolo South,"Guarau, Peruibe SP",-24.369537000000001,-47.011699999999998,3,4,Right and left,Beach-break,All surfers,10000.000000000000000,85,62831.853071795863798,314159265.358979284763336,493.599309177445434,1507
86,330,Sudeste,Sao Paolo South,Pier de Mongaguá,-24.095718000000002,-46.618552000000001,3.5,4,Right and left,Beach-break,All surfers,10000.000000000000000,86,62831.853071795863798,314159265.358979284763336,494.150937500972304,1511
87,332,Sudeste,Sao Paolo South,Tombo,-24.014990000000001,-46.272697000000001,3.5,4,Right and left,Beach-break,All surfers,10000.000000000000000,87,62831.853071795863798,314159265.358979284763336,1135.291610172227593,6060
88,333,Sudeste,Sao Paulo North,Astúrias,-24.007738000000000,-46.266475000000000,3,2,Right and left,Beach-break,All surfers,10000.000000000000000,88,62831.853071795863798,314159265.358979284763336,1200.549413511600960,6306
89,334,Sudeste,Sao Paolo South,Pitangueiras Beach,-24.000935999999999,-46.260767000000001,3.5,4,Right and left,Beach-break,Experienced surfers,10000.000000000000000,89,62831.853071795863798,314159265.358979284763336,1239.549660918297377,6415
