OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,osm_id,code,fclass,name_1,type_1,Shape_Leng,Shape_Area,Shape_Le_1,Shape_Ar_1
79,2,79,78,Sudeste,NA,Ponta da Belina,-20.445827000000001,-40.329245000000000,NA,NA,NA,NA,NA,10000.000000000000000,79,1032395838,1500,building, ,hotel,97.651367783579047,430.180535511391554,62831.853071795863798,314159265.358979284763336
80,3,80,79,Sudeste,NA,Coral Um,-20.437659000000000,-40.326006999999997,NA,NA,NA,NA,NA,10000.000000000000000,80,699297267,1500,building,Bristol Easy Hotel,hotel,86.445450733382117,393.524686880486570,62831.853071795863798,314159265.358979284763336
81,3,81,80,Sudeste,NA,"Barrao, Brazil",-20.427381000000000,-40.320982000000001,NA,NA,NA,NA,NA,10000.000000000000000,81,699297267,1500,building,Bristol Easy Hotel,hotel,86.445450733382117,393.524686880486570,62831.853071795863798,314159265.358979284763336
82,3,82,81,Sudeste,NA,Barrinha,-20.422540999999999,-40.321933999999999,NA,NA,NA,NA,NA,10000.000000000000000,82,699297267,1500,building,Bristol Easy Hotel,hotel,86.445450733382117,393.524686880486570,62831.853071795863798,314159265.358979284763336
83,11,83,82,Sudeste,NA,Praia de Camburi,-20.279677000000000,-40.248994000000003,NA,NA,NA,NA,NA,10000.000000000000000,83,422420,1500,building,Hotel Porto do Sol,hotel,326.788477267296571,1829.417989196802182,62831.853071795863798,314159265.358979284763336
84,7,84,83,Sudeste,NA,Velzyland,-20.244838999999999,-40.216205000000002,NA,NA,NA,NA,NA,10000.000000000000000,84,422420,1500,building,Hotel Porto do Sol,hotel,326.788477267296571,1829.417989196802182,62831.853071795863798,314159265.358979284763336
85,6,85,84,Sudeste,NA,Ponta da Cacao,-20.219573000000000,-40.196268000000003,NA,NA,NA,NA,NA,10000.000000000000000,85,422420,1500,building,Hotel Porto do Sol,hotel,326.788477267296571,1829.417989196802182,62831.853071795863798,314159265.358979284763336
86,2,86,85,Sudeste,NA,"Manguinhos, Brazil",-20.199344000000000,-40.190266999999999,NA,NA,NA,NA,NA,10000.000000000000000,86,586958971,1500,building, ,hotel,254.218372459185588,1589.111393770281893,62831.853071795863798,314159265.358979284763336
87,2,87,86,Sudeste,NA,Praia da Baleia,-20.171105000000001,-40.184866000000000,NA,NA,NA,NA,NA,10000.000000000000000,87,586958971,1500,building, ,hotel,254.218372459185588,1589.111393770281893,62831.853071795863798,314159265.358979284763336
88,3,88,87,Sudeste,NA,Jacaraipe - Solemar,-20.109774999999999,-40.171481000000000,NA,NA,NA,NA,NA,10000.000000000000000,88,586958971,1500,building, ,hotel,254.218372459185588,1589.111393770281893,62831.853071795863798,314159265.358979284763336
89,3,89,88,Sudeste,NA,Xa,-20.107229000000000,-40.171174999999998,NA,NA,NA,NA,NA,10000.000000000000000,89,586958971,1500,building, ,hotel,254.218372459185588,1589.111393770281893,62831.853071795863798,314159265.358979284763336
90,1,90,89,Sudeste,NA,Nova Almeida,-20.058461999999999,-40.183000999999997,NA,NA,NA,NA,NA,10000.000000000000000,90,649617673,1500,building, ,hotel,115.592562927747210,617.817115861660000,62831.853071795863798,314159265.358979284763336
91,1,91,90,Sudeste,NA,Praia Grande,-20.047100000000000,-40.182743000000002,NA,NA,NA,NA,NA,10000.000000000000000,91,649617673,1500,building, ,hotel,115.592562927747210,617.817115861660000,62831.853071795863798,314159265.358979284763336
92,0,92,91,Sudeste,NA,Regencia,-19.562811000000000,-39.764263999999997,NA,NA,NA,NA,NA,10000.000000000000000,92,,,,,,,,62831.853071795863798,314159265.358979284763336
93,0,93,92,Sudeste,NA,Guriri,-18.910750000000000,-39.738563999999997,NA,NA,NA,NA,NA,10000.000000000000000,93,,,,,,,,62831.853071795863798,314159265.358979284763336
94,0,94,93,Nordeste,NA,Milionarios,-14.847631000000000,-39.022942000000000,NA,NA,NA,NA,NA,10000.000000000000000,94,,,,,,,,62831.853071795863798,314159265.358979284763336
95,0,95,94,Nordeste,NA,Sul,-14.831120000000000,-39.022562999999998,NA,NA,NA,NA,NA,10000.000000000000000,95,,,,,,,,62831.853071795863798,314159265.358979284763336
96,0,96,95,Nordeste,NA,Pedra da Cachorra,-14.821026000000000,-39.023632999999997,NA,NA,NA,NA,NA,10000.000000000000000,96,,,,,,,,62831.853071795863798,314159265.358979284763336
97,0,97,96,Nordeste,NA,Jardim Atlantico,-14.815026000000000,-39.023400000000002,NA,NA,NA,NA,NA,10000.000000000000000,97,,,,,,,,62831.853071795863798,314159265.358979284763336
98,0,98,97,Nordeste,NA,Baduska,-14.809442000000001,-39.023423000000001,NA,NA,NA,NA,NA,10000.000000000000000,98,,,,,,,,62831.853071795863798,314159265.358979284763336
99,0,99,98,Nordeste,NA,Norte,-14.660090000000000,-39.063006999999999,NA,NA,NA,NA,NA,10000.000000000000000,99,,,,,,,,62831.853071795863798,314159265.358979284763336
100,0,100,99,Nordeste,NA,Havaizinho,-14.468062000000000,-39.023161000000002,NA,NA,NA,NA,NA,10000.000000000000000,100,,,,,,,,62831.853071795863798,314159265.358979284763336
101,0,101,100,Nordeste,NA,Sao Jose,-14.316062000000001,-38.990701000000001,NA,NA,NA,NA,NA,10000.000000000000000,101,,,,,,,,62831.853071795863798,314159265.358979284763336
