OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,OBJECTID_1,FID_1,cod_icao,nm_municip,TipoAero,nome,largura_m,num_pista,uf,altitude,extensao,cod_uso,pavimento,GEOCODIGO,Shape_Leng,Shape_Area
34,0,34,33,Sudeste,NA,Barra do Sahy,-23.774384999999999,-45.697569999999999,NA,NA,NA,NA,NA,10000.000000000000000,34,34,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
35,0,35,34,Sudeste,NA,Praia Preta,-23.773009999999999,-45.715814999999999,NA,NA,NA,NA,NA,10000.000000000000000,35,35,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
36,0,36,35,Sudeste,NA,Bananas Point,-23.771605000000001,-45.706209999999999,NA,NA,NA,NA,NA,10000.000000000000000,36,36,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
37,0,37,36,Sudeste,NA,Praia do Juquei,-23.768115000000002,-45.745452999999998,NA,NA,NA,NA,NA,10000.000000000000000,37,37,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
38,0,38,37,Sudeste,NA,Barra do Una,-23.763818000000001,-45.762779999999999,NA,NA,NA,NA,NA,10000.000000000000000,38,38,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
39,0,39,38,Sudeste,NA,Praia da Boracéia,-23.758372999999999,-45.828777000000002,NA,NA,NA,NA,NA,10000.000000000000000,39,39,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
40,0,40,39,Sudeste,NA,Praia Dura,-23.496058000000001,-45.171014000000000,NA,NA,NA,NA,NA,10000.000000000000000,40,40,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
41,1,41,40,Sudeste,NA,Pereque-Acu,-23.424565000000001,-45.062697000000000,NA,NA,NA,NA,NA,10000.000000000000000,41,41,2306,SDUB,Ubatuba,Nacional,Ubatuba,30.000000000000000,1,SP,4.000000000000000,940.000000000000000,Public,asfalto ou concreto Asfáltico,3555406.000000000000000,62831.853071795863798,314159265.358979284763336
42,1,42,41,Sudeste,NA,Itamambuca,-23.406683000000001,-45.008741000000001,NA,NA,NA,NA,NA,10000.000000000000000,42,42,2306,SDUB,Ubatuba,Nacional,Ubatuba,30.000000000000000,1,SP,4.000000000000000,940.000000000000000,Public,asfalto ou concreto Asfáltico,3555406.000000000000000,62831.853071795863798,314159265.358979284763336
43,0,43,42,Sudeste,NA,Praia da Fazenda,-23.361352000000000,-44.859766000000000,NA,NA,NA,NA,NA,10000.000000000000000,43,43,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
44,0,44,43,Sudeste,NA,Aventureiro,-23.184405999999999,-44.315804000000000,NA,NA,NA,NA,NA,10000.000000000000000,44,44,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
45,0,45,44,Sudeste,NA,Praia do Leste,-23.179746000000002,-44.274093999999998,NA,NA,NA,NA,NA,10000.000000000000000,45,45,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
46,0,46,45,Sudeste,NA,Praia do Sul,-23.178656000000000,-44.296756999999999,NA,NA,NA,NA,NA,10000.000000000000000,46,46,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
47,0,47,46,Sudeste,NA,Praia do Meio,-23.066913000000000,-43.549809000000003,NA,NA,NA,NA,NA,10000.000000000000000,47,47,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
48,0,48,47,Sudeste,NA,Restinga a Marambaia,-23.061833000000000,-43.591673000000000,NA,NA,NA,NA,NA,10000.000000000000000,48,48,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
49,0,49,48,Sudeste,NA,Grumari,-23.050469000000000,-43.533907999999997,NA,NA,NA,NA,NA,10000.000000000000000,49,49,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
50,1,50,49,Sudeste,NA,Reserva,-23.022717000000000,-43.440916000000001,NA,NA,NA,NA,NA,10000.000000000000000,50,50,2079,SBJR,Rio de Janeiro,Nacional,Jacarepaguá,30.000000000000000,1,RJ,3.000000000000000,900.000000000000000,Public,asfalto ou concreto Asfáltico,3304557.000000000000000,62831.853071795863798,314159265.358979284763336
51,1,51,50,Sudeste,NA,Barra da Tijuca,-23.020340120000000,-43.372478489999999,NA,NA,NA,NA,NA,10000.000000000000000,51,51,2079,SBJR,Rio de Janeiro,Nacional,Jacarepaguá,30.000000000000000,1,RJ,3.000000000000000,900.000000000000000,Public,asfalto ou concreto Asfáltico,3304557.000000000000000,62831.853071795863798,314159265.358979284763336
52,1,52,51,Sudeste,NA,Barra da Tijuca,-23.014886109999999,-43.372222219999998,NA,NA,NA,NA,NA,10000.000000000000000,52,52,2079,SBJR,Rio de Janeiro,Nacional,Jacarepaguá,30.000000000000000,1,RJ,3.000000000000000,900.000000000000000,Public,asfalto ou concreto Asfáltico,3304557.000000000000000,62831.853071795863798,314159265.358979284763336
53,0,53,52,Sudeste,NA,Sao Conrado,-23.000617999999999,-43.264187000000000,NA,NA,NA,NA,NA,10000.000000000000000,53,53,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
54,0,54,53,Sudeste,NA,Bambui,-22.975255000000001,-42.916570000000000,NA,NA,NA,NA,NA,10000.000000000000000,54,54,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
55,0,55,54,Sudeste,NA,Itaipuacu,-22.971149000000000,-43.011260000000000,NA,NA,NA,NA,NA,10000.000000000000000,55,55,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
56,1,56,55,Sudeste,NA,Barra de Marica,-22.962100000000000,-42.809486999999997,NA,NA,NA,NA,NA,10000.000000000000000,56,56,310,SDMC,Maricá,Nacional,Maricá,30.000000000000000,1,RJ,4.000000000000000,1190.000000000000000,Public,asfalto ou concreto Asfáltico,3302700.000000000000000,62831.853071795863798,314159265.358979284763336
57,0,57,56,Sudeste,NA,Camboinhas,-22.961998000000001,-43.059922999999998,NA,NA,NA,NA,NA,10000.000000000000000,57,57,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
58,0,58,57,Sudeste,NA,Pirantininga,-22.955044999999998,-43.088653999999998,NA,NA,NA,NA,NA,10000.000000000000000,58,58,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
59,0,59,58,Sudeste,NA,Jacone,-22.946556000000001,-42.679789000000000,NA,NA,NA,NA,NA,10000.000000000000000,59,59,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
60,0,60,59,Sudeste,NA,Figueira,-22.944991999999999,-42.188828000000001,NA,NA,NA,NA,NA,10000.000000000000000,60,60,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
61,1,61,60,Sudeste,NA,Praia do Fora,-22.944794000000002,-43.155304000000001,NA,NA,NA,NA,NA,10000.000000000000000,61,61,312,SBRJ,Rio de Janeiro,Nacional,Santos Dumont,42.000000000000000,2,RJ,3.000000000000000,1323.000000000000000,Public,asfalto ou concreto Asfáltico,3304557.000000000000000,62831.853071795863798,314159265.358979284763336
62,1,62,61,Sudeste,NA,Laje do Pao de Acucar,-22.938409000000000,-43.151797000000002,NA,NA,NA,NA,NA,10000.000000000000000,62,62,312,SBRJ,Rio de Janeiro,Nacional,Santos Dumont,42.000000000000000,2,RJ,3.000000000000000,1323.000000000000000,Public,asfalto ou concreto Asfáltico,3304557.000000000000000,62831.853071795863798,314159265.358979284763336
63,1,63,62,Sudeste,NA,Canal,-22.937418999999998,-42.487813000000003,NA,NA,NA,NA,NA,10000.000000000000000,63,63,2081,SDSK,Saquarema,Nacional,Saquarema,40.000000000000000,1,RJ,8.000000000000000,905.000000000000000,Public,grama,3305505.000000000000000,62831.853071795863798,314159265.358979284763336
64,0,64,63,Sudeste,NA,Praia Seca,-22.936126000000002,-42.361598000000001,NA,NA,NA,NA,NA,10000.000000000000000,64,64,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
65,0,65,64,Sudeste,NA,Caravelas,-22.814850000000000,-41.953901999999999,NA,NA,NA,NA,NA,10000.000000000000000,65,65,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
66,0,66,65,Sudeste,NA,Tucuns,-22.799863999999999,-41.929282000000001,NA,NA,NA,NA,NA,10000.000000000000000,66,66,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
67,0,67,66,Sudeste,NA,Praia Brava,-22.754252000000001,-41.872608999999997,NA,NA,NA,NA,NA,10000.000000000000000,67,67,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
68,0,68,67,Sudeste,NA,Marataizes,-21.044882999999999,-40.827455999999998,NA,NA,NA,NA,NA,10000.000000000000000,68,68,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
69,0,69,68,Sudeste,NA,Ponta do Ubu,-20.793246000000000,-40.579551000000002,NA,NA,NA,NA,NA,10000.000000000000000,69,69,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
70,0,70,69,Sudeste,NA,Ponta dos Castelhanos,-20.755085000000001,-40.560755000000000,NA,NA,NA,NA,NA,10000.000000000000000,70,70,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
71,1,71,70,Sudeste,NA,Maimba,-20.707021999999998,-40.514367999999997,NA,NA,NA,NA,NA,10000.000000000000000,71,71,2074,SNGA,Guarapari,Nacional,Guarapari,30.000000000000000,1,ES,9.000000000000000,1190.000000000000000,Public,asfalto ou concreto Asfáltico,3202405.000000000000000,62831.853071795863798,314159265.358979284763336
72,1,72,71,Sudeste,NA,Praia do Morro,-20.659787999999999,-40.493842999999998,NA,NA,NA,NA,NA,10000.000000000000000,72,72,2074,SNGA,Guarapari,Nacional,Guarapari,30.000000000000000,1,ES,9.000000000000000,1190.000000000000000,Public,asfalto ou concreto Asfáltico,3202405.000000000000000,62831.853071795863798,314159265.358979284763336
73,1,73,72,Sudeste,NA,Ponta de Bororo,-20.614518000000000,-40.415382000000001,NA,NA,NA,NA,NA,10000.000000000000000,73,73,2074,SNGA,Guarapari,Nacional,Guarapari,30.000000000000000,1,ES,9.000000000000000,1190.000000000000000,Public,asfalto ou concreto Asfáltico,3202405.000000000000000,62831.853071795863798,314159265.358979284763336
74,0,74,73,Sudeste,NA,Tropical,-20.559543999999999,-40.391810000000000,NA,NA,NA,NA,NA,10000.000000000000000,74,74,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
75,0,75,74,Sudeste,NA,Dunas de Ule,-20.542100000000001,-40.379860999999998,NA,NA,NA,NA,NA,10000.000000000000000,75,75,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
76,0,76,75,Sudeste,NA,Guarapari - Ule,-20.541319000000001,-40.378385999999999,NA,NA,NA,NA,NA,10000.000000000000000,76,76,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
77,0,77,76,Sudeste,NA,Ponta da Fruta,-20.516836999999999,-40.358133000000002,NA,NA,NA,NA,NA,10000.000000000000000,77,77,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
78,0,78,77,Sudeste,NA,Coral Dois,-20.448948000000001,-40.330300000000001,NA,NA,NA,NA,NA,10000.000000000000000,78,78,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
79,0,79,78,Sudeste,NA,Ponta da Belina,-20.445827000000001,-40.329245000000000,NA,NA,NA,NA,NA,10000.000000000000000,79,79,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
80,0,80,79,Sudeste,NA,Coral Um,-20.437659000000000,-40.326006999999997,NA,NA,NA,NA,NA,10000.000000000000000,80,80,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
81,0,81,80,Sudeste,NA,"Barrao, Brazil",-20.427381000000000,-40.320982000000001,NA,NA,NA,NA,NA,10000.000000000000000,81,81,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
82,0,82,81,Sudeste,NA,Barrinha,-20.422540999999999,-40.321933999999999,NA,NA,NA,NA,NA,10000.000000000000000,82,82,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
83,1,83,82,Sudeste,NA,Praia de Camburi,-20.279677000000000,-40.248994000000003,NA,NA,NA,NA,NA,10000.000000000000000,83,83,303,SBVT,Vitória,Nacional,Goiabeiras,45.000000000000000,1,ES,3.000000000000000,1750.000000000000000,Public,asfalto ou concreto Asfáltico,3205309.000000000000000,62831.853071795863798,314159265.358979284763336
84,1,84,83,Sudeste,NA,Velzyland,-20.244838999999999,-40.216205000000002,NA,NA,NA,NA,NA,10000.000000000000000,84,84,303,SBVT,Vitória,Nacional,Goiabeiras,45.000000000000000,1,ES,3.000000000000000,1750.000000000000000,Public,asfalto ou concreto Asfáltico,3205309.000000000000000,62831.853071795863798,314159265.358979284763336
85,0,85,84,Sudeste,NA,Ponta da Cacao,-20.219573000000000,-40.196268000000003,NA,NA,NA,NA,NA,10000.000000000000000,85,85,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
86,0,86,85,Sudeste,NA,"Manguinhos, Brazil",-20.199344000000000,-40.190266999999999,NA,NA,NA,NA,NA,10000.000000000000000,86,86,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
87,0,87,86,Sudeste,NA,Praia da Baleia,-20.171105000000001,-40.184866000000000,NA,NA,NA,NA,NA,10000.000000000000000,87,87,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
88,0,88,87,Sudeste,NA,Jacaraipe - Solemar,-20.109774999999999,-40.171481000000000,NA,NA,NA,NA,NA,10000.000000000000000,88,88,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
89,0,89,88,Sudeste,NA,Xa,-20.107229000000000,-40.171174999999998,NA,NA,NA,NA,NA,10000.000000000000000,89,89,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
90,0,90,89,Sudeste,NA,Nova Almeida,-20.058461999999999,-40.183000999999997,NA,NA,NA,NA,NA,10000.000000000000000,90,90,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
91,0,91,90,Sudeste,NA,Praia Grande,-20.047100000000000,-40.182743000000002,NA,NA,NA,NA,NA,10000.000000000000000,91,91,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
92,0,92,91,Sudeste,NA,Regencia,-19.562811000000000,-39.764263999999997,NA,NA,NA,NA,NA,10000.000000000000000,92,92,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
93,0,93,92,Sudeste,NA,Guriri,-18.910750000000000,-39.738563999999997,NA,NA,NA,NA,NA,10000.000000000000000,93,93,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
94,1,94,93,Nordeste,NA,Milionarios,-14.847631000000000,-39.022942000000000,NA,NA,NA,NA,NA,10000.000000000000000,94,94,183,SBIL,Ilhéus,Nacional,Bahia - Jorge Amado,45.000000000000000,1,BA,4.000000000000000,1577.000000000000000,Public,asfalto ou concreto Asfáltico,2913606.000000000000000,62831.853071795863798,314159265.358979284763336
95,1,95,94,Nordeste,NA,Sul,-14.831120000000000,-39.022562999999998,NA,NA,NA,NA,NA,10000.000000000000000,95,95,183,SBIL,Ilhéus,Nacional,Bahia - Jorge Amado,45.000000000000000,1,BA,4.000000000000000,1577.000000000000000,Public,asfalto ou concreto Asfáltico,2913606.000000000000000,62831.853071795863798,314159265.358979284763336
96,1,96,95,Nordeste,NA,Pedra da Cachorra,-14.821026000000000,-39.023632999999997,NA,NA,NA,NA,NA,10000.000000000000000,96,96,183,SBIL,Ilhéus,Nacional,Bahia - Jorge Amado,45.000000000000000,1,BA,4.000000000000000,1577.000000000000000,Public,asfalto ou concreto Asfáltico,2913606.000000000000000,62831.853071795863798,314159265.358979284763336
97,1,97,96,Nordeste,NA,Jardim Atlantico,-14.815026000000000,-39.023400000000002,NA,NA,NA,NA,NA,10000.000000000000000,97,97,183,SBIL,Ilhéus,Nacional,Bahia - Jorge Amado,45.000000000000000,1,BA,4.000000000000000,1577.000000000000000,Public,asfalto ou concreto Asfáltico,2913606.000000000000000,62831.853071795863798,314159265.358979284763336
98,1,98,97,Nordeste,NA,Baduska,-14.809442000000001,-39.023423000000001,NA,NA,NA,NA,NA,10000.000000000000000,98,98,183,SBIL,Ilhéus,Nacional,Bahia - Jorge Amado,45.000000000000000,1,BA,4.000000000000000,1577.000000000000000,Public,asfalto ou concreto Asfáltico,2913606.000000000000000,62831.853071795863798,314159265.358979284763336
99,0,99,98,Nordeste,NA,Norte,-14.660090000000000,-39.063006999999999,NA,NA,NA,NA,NA,10000.000000000000000,99,99,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
100,0,100,99,Nordeste,NA,Havaizinho,-14.468062000000000,-39.023161000000002,NA,NA,NA,NA,NA,10000.000000000000000,100,100,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
101,0,101,100,Nordeste,NA,Sao Jose,-14.316062000000001,-38.990701000000001,NA,NA,NA,NA,NA,10000.000000000000000,101,101,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
102,0,102,101,Nordeste,NA,Corals,-14.275408000000001,-38.982568999999998,NA,NA,NA,NA,NA,10000.000000000000000,102,102,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
103,0,103,102,Nordeste,NA,Tony,-13.016731999999999,-38.488781000000003,NA,NA,NA,NA,NA,10000.000000000000000,103,103,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
104,0,104,103,Nordeste,NA,Meridien,-13.016598000000000,-38.484878999999999,NA,NA,NA,NA,NA,10000.000000000000000,104,104,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
105,0,105,104,Nordeste,NA,Amaralina,-13.015369000000000,-38.471834000000001,NA,NA,NA,NA,NA,10000.000000000000000,105,105,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
106,0,106,105,Nordeste,NA,Tubao,-13.010683999999999,-38.461410999999998,NA,NA,NA,NA,NA,10000.000000000000000,106,106,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
107,0,107,106,Nordeste,NA,Psiu,-12.995919000000001,-38.439390000000003,NA,NA,NA,NA,NA,10000.000000000000000,107,107,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
108,0,108,107,Nordeste,NA,Alex,-12.973279000000000,-38.406477000000002,NA,NA,NA,NA,NA,10000.000000000000000,108,108,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
109,0,109,108,Nordeste,NA,Terceira Ponte,-12.963839999999999,-38.396822000000000,NA,NA,NA,NA,NA,10000.000000000000000,109,109,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
110,1,110,109,Nordeste,NA,SESC,-12.960485000000000,-38.390998000000003,NA,NA,NA,NA,NA,10000.000000000000000,110,110,2626,SBSV,Salvador,Internacional,Deputado Luís Eduardo Magalhães,45.000000000000000,2,BA,19.000000000000000,3005.000000000000000,Public,asfalto ou concreto Asfáltico,2927408.000000000000000,62831.853071795863798,314159265.358979284763336
111,1,111,110,Nordeste,NA,Farol,-12.958147000000000,-38.352812999999998,NA,NA,NA,NA,NA,10000.000000000000000,111,111,2626,SBSV,Salvador,Internacional,Deputado Luís Eduardo Magalhães,45.000000000000000,2,BA,19.000000000000000,3005.000000000000000,Public,asfalto ou concreto Asfáltico,2927408.000000000000000,62831.853071795863798,314159265.358979284763336
112,1,112,111,Nordeste,NA,Pedro do Sal,-12.954224000000000,-38.347234000000000,NA,NA,NA,NA,NA,10000.000000000000000,112,112,2626,SBSV,Salvador,Internacional,Deputado Luís Eduardo Magalhães,45.000000000000000,2,BA,19.000000000000000,3005.000000000000000,Public,asfalto ou concreto Asfáltico,2927408.000000000000000,62831.853071795863798,314159265.358979284763336
