OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,state
281,280,Sul,Santa Catarina North,Bombinhas,-27.148367,-48.489532,2,2,Right and left,Beach-break,Beginners wave,2,2,0,2,Santa Catarina
282,281,Sul,Santa Catarina North,Bombas,-27.140118,-48.506784,3,2,Right and left,Beach-break,All surfers,2,2,1,3,Santa Catarina
283,282,Sul,Santa Catarina North,Meia Praia,-27.104825,-48.609009,3,3,Right and left,Sand-bar,All surfers,2,3,1,3,Santa Catarina
284,283,Sul,Santa Catarina North,Itapema,-27.095541,-48.609738,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Santa Catarina
285,284,Sul,Santa Catarina North,Ponta do Cabeço,-27.093436,-48.60196,4,2,Left,Reef-rocky,Experienced surfers,1,2,0,4,Santa Catarina
286,285,Sul,Santa Catarina North,Mocó,-27.080182,-48.588452,4,2,Left,Reef-rocky,Experienced surfers,1,2,0,4,Santa Catarina
287,286,Sul,Santa Catarina North,Estaleirinho,-27.049112,-48.586779,3,4,Right and left,Beach-break,Pros or kamikaze only...,2,4,0,3,Santa Catarina
288,287,Sul,Santa Catarina North,Estaleiro (reef),-27.02505,-48.574065,3.5,2,Left,Reef-rocky,Experienced surfers,1,2,0,3.5,Santa Catarina
289,288,Sul,Santa Catarina North,Balneário Camboriú,-26.987712,-48.629951,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Santa Catarina
290,289,Sul,Santa Catarina North,Parcel,-26.976469,-48.623171,4,1,Right and left,Reef-rocky,Pros or kamikaze only...,2,1,0,4,Santa Catarina
291,290,Sul,Santa Catarina North,Praia dos Amores,-26.957191,-48.629222,3,2,Right and left,Beach-break,Experienced surfers,2,2,0,3,Santa Catarina
292,291,Sul,Santa Catarina North,Praia Brava,-26.94166,-48.628235,3,3,Right and left,Beach-break,Experienced surfers,2,3,0,3,Santa Catarina
293,292,Sul,Santa Catarina North,Morcego,-26.931052,-48.625215,3.5,NA,Left,Point-break,Pros or kamikaze only...,1,1,0,3.5,Santa Catarina
294,293,Sul,Santa Catarina North,Atalaia,-26.915163,-48.639361,3.5,2,Left,breakwater/jetty,All surfers,1,2,1,3.5,Santa Catarina
295,294,Sul,Santa Catarina North,Pracinha,-26.901884,-48.641614,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,Santa Catarina
296,295,Sul,Santa Catarina North,Navegantes,-26.897578,-48.638706,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Santa Catarina
297,296,Sul,Santa Catarina North,Garrincha,-26.858703,-48.634619,3,2,Right and left,Sand-bar,Experienced surfers,2,2,0,3,Santa Catarina
298,297,Sul,Santa Catarina North,Gravatá (1 e 2),-26.831883,-48.621969,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Santa Catarina
299,298,Sul,Santa Catarina North,Gravatá,-26.83173,-48.623428,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Santa Catarina
300,299,Sul,Santa Catarina North,Quilombo,-26.766993,-48.639414,3.5,2,Left,Beach-break,All surfers,1,2,1,3.5,Santa Catarina
301,300,Sul,Santa Catarina North,Quilombo (reef),-26.765743,-48.640144,3.5,2,Right,Point-break,All surfers,1,2,1,3.5,Santa Catarina
302,301,Sul,Santa Catarina North,molhe de Piçarras,-26.757026,-48.673435,3,1,Right,Point-break,All surfers,1,1,1,3,Santa Catarina
303,302,Sul,Santa Catarina North,Laje do Jacques,-26.726916,-48.67306,4,2,Right and left,Reef-rocky,Experienced surfers,2,2,0,4,Santa Catarina
304,303,Sul,Santa Catarina North,Syphodys,-26.701371,-48.680248,3,2,Right and left,Beach-break,Experienced surfers,2,2,0,3,Santa Catarina
305,304,Sul,Santa Catarina North,ilha do grants,-26.696032,-48.674991,3.5,1,Left,Reef-rocky,Pros or kamikaze only...,1,1,0,3.5,Santa Catarina
306,305,Sul,Santa Catarina North,barra de Itajuba,-26.691345,-48.684164,3,1,Right,Point-break,All surfers,1,1,1,3,Santa Catarina
307,306,Sul,Santa Catarina North,Praia do Sol,-26.679962,-48.688166,2,3,Right and left,Point-break,All surfers,2,3,1,2,Santa Catarina
308,307,Sul,Santa Catarina North,Praia do Tabuleiro,-26.643014,-48.682051,3,2,Right and left,Beach-break,Beginners wave,2,2,0,3,Santa Catarina
309,308,Sul,Santa Catarina North,Canoas,-26.639403,-48.682501,2,3,Right and left,Beach-break,Beginners wave,2,3,0,2,Santa Catarina
310,309,Sul,Santa Catarina North,Barrinha,-26.623905,-48.679991,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Santa Catarina
311,310,Sul,Santa Catarina North,Foz do Itapocu,-26.580708,-48.663769,3,3,Left,breakwater/jetty,All surfers,1,3,1,3,Santa Catarina
312,311,Sul,Santa Catarina South,Foz do Itapocu,-26.566919,-48.657525,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,Santa Catarina
313,312,Sul,Santa Catarina North,Praia do Bispo,-26.469248,-48.607056,3,4,Right and left,Beach-break,All surfers,2,4,1,3,Santa Catarina
314,313,Sul,Santa Catarina North,Picama,-26.458087,-48.596874,3,3,Right and left,Sand-bar,Experienced surfers,2,3,0,3,Santa Catarina
315,314,Sul,Santa Catarina North,"Praia Grande, São Francisco do Sul",-26.23588,-48.5026,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Santa Catarina
316,315,Sul,Santa Catarina South,Praia da Saudade,-26.230606,-48.498888,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,Santa Catarina
317,316,Sul,Santa Catarina South,Sao Francisco do Sul,-26.219558,-48.502107,3,1,Right,Sand-bar,Beginners wave,1,1,0,3,Santa Catarina
318,317,Sul,Santa Catarina South,Píer da Petrobras,-26.217387,-48.500519,3.5,2,Right,Point-break,All surfers,1,2,1,3.5,Santa Catarina
8,7,Sul,NA,Itagua&ccedil;u,-26.184728,-48.526328,NA,NA,NA,NA,NA,1,1,1,1,Santa Catarina
319,318,Sul,Santa Catarina North,Sumidouro,-26.169526,-48.552479,3.5,1,Right and left,Beach-break,Experienced surfers,2,1,0,3.5,Santa Catarina
320,319,Sul,Santa Catarina North,Praia do Forte,-26.163306,-48.53322,3.5,1,Right,Point-break,All surfers,1,1,1,3.5,Santa Catarina
321,320,Sul,Santa Catarina North,Terceira Pedra,-26.067009,-48.607646,3.5,3,Right,Point-break,All surfers,1,3,1,3.5,Santa Catarina
322,321,Sul,Santa Catarina North,Barra do sai mirim,-26.007832,-48.604061,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Santa Catarina
323,322,Sul,Parana,Barrinha,-25.976699,-48.590727,3,2,Right,Beach-break,Experienced surfers,1,2,0,3,Paraná
324,323,Sul,Parana,Guaratuba Praia Brava,-25.897758,-48.564291,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Paraná
