fid,name,surf_spot,quality,frequency,direction,type,experience
202,NA,Oasis Sul,3.0,3,Right and left,Beach-break,All surfers
203,NA,Tramandai - Malvina,3.5,3,Right and left,Beach-break,All surfers
204,NA,Tramandai,3.0,3,Right and left,Beach-break,All surfers
205,NA,Rainha do Mar,3.5,5,Right and left,Beach-break,All surfers
206,NA,Xangri-lá,3.0,3,Right and left,Beach-break,All surfers
207,NA,Atlântida - Pier,3.0,3,Right and left,Sand-bar,All surfers
208,NA,Capao da Canoa,3.0,3,Right and left,Sand-bar,All surfers
209,NA,Capao Novo,3.0,3,Right and left,Beach-break,All surfers
210,NA,Curumim,3.0,4,Right and left,Beach-break,Experienced surfers
211,NA,Itapeva,3.0,3,Right and left,Beach-break,All surfers
212,NA,Guarita,3.0,2,Right and left,Beach-break,All surfers
213,NA,Cal,3.5,3,Right and left,Beach-break,All surfers
214,NA,Ilha dos Lobos,5.0,2,Left,Reef-rocky,Pros or kamikaze only...
215,NA,Prainha,3.5,3,Right and left,Beach-break,Experienced surfers
216,NA,Saraiva,3.5,3,Right and left,Beach-break,Experienced surfers
217,NA,Molhes,3.5,3,Right and left,Beach-break,All surfers
218,NA,Passo de Torres,3.5,2,Right and left,Rivermouth,Experienced surfers
219,NA,Gaivota,3.0,2,Right and left,Beach-break,Experienced surfers
220,NA,Arroio do Silva,3.5,2,Right and left,Beach-break,Experienced surfers
221,NA,Morro dos Conventos,3.5,3,Right and left,Beach-break,All surfers
222,NA,Rincão,3.5,4,Right and left,Beach-break,Experienced surfers
223,NA,Jaguaruna,3.5,3,Right and left,Beach-break,All surfers
224,NA,Camacho,3.0,2,NA,Beach-break,All surfers
225,NA,Cigana,3.0,3,Right and left,Beach-break,Experienced surfers
226,NA,Cardozo,3.5,4,Right and left,Beach-break,All surfers
227,NA,Cemiterio,5.0,1,Right,Point-break,Pros or kamikaze only...
228,NA,Prainha do Farol,3.0,1,Right,Beach-break,All surfers
229,NA,Ipoa,3.0,4,Right and left,Beach-break,All surfers
230,NA,Teresa,3.0,3,Right and left,Beach-break,All surfers
231,NA,Praia de Cima,3.5,2,Right and left,Beach-break,All surfers
232,NA,Laguna,3.5,3,Right and left,Beach-break,All surfers
233,NA,Cavalinho,3.5,3,Right,Point-break,Experienced surfers
234,NA,Itapirubá,3.5,4,Right and left,Beach-break,All surfers
235,NA,Itapirubá Norte,3.5,3,Right and left,Beach-break,All surfers
236,NA,Castelinho,4.0,4,Right and left,Beach-break,Experienced surfers
237,NA,Praia da Vila,4.0,4,Right and left,Sand-bar,Experienced surfers
238,NA,Ribanceira,3.0,2,Right and left,Sand-bar,All surfers
239,NA,Ibiraquera,4.0,4,Right and left,Point-break,Experienced surfers
240,NA,Rosa Sul,3.5,4,Right and left,Beach-break,All surfers
241,NA,Rosa Norte,3.5,2,Right and left,Beach-break,All surfers
242,NA,Vermelha,3.5,2,Left,Beach-break,Experienced surfers
243,NA,Ouvidor,2.0,2,Right and left,Beach-break,Beginners wave
244,NA,Barrinha,3.5,3,Right and left,Beach-break,NA
245,NA,Ferrugem,3.5,4,Right and left,Sand-bar,All surfers
246,NA,Praia do Silveira,4.0,4,Right,Point-break,Pros or kamikaze only...
247,NA,Garopaba Centro,3.0,2,Right and left,Beach-break,All surfers
248,NA,Siriu,3.5,3,Right and left,Beach-break,All surfers
249,NA,Gamboa,3.5,1,Right and left,Beach-break,All surfers
250,NA,Guarda do embau,4.0,3,Left,Rivermouth,Experienced surfers
251,NA,Costão da Pinheira,3.5,1,Right,Point-break,Experienced surfers
252,NA,Naufragados,5.0,3,Right,Beach-break,Pros or kamikaze only...
253,NA,Solidao - Caladinho,3.5,3,Right,Point-break,Experienced surfers
254,NA,Praia dos Açores,3.0,3,Right and left,Beach-break,All surfers
255,NA,Lagoinha do Leste,3.5,4,Right and left,Beach-break,All surfers
256,NA,Matadeiro,3.5,4,Right and left,Beach-break,Experienced surfers
257,NA,Armação,3.0,2,Right and left,Beach-break,All surfers
258,NA,Caldeirao,3.5,3,Left,Beach-break,Experienced surfers
259,NA,Morro das Pedras,3.0,4,Right and left,Sand-bar,Experienced surfers
260,NA,Campeche Rights,4.0,2,Right,Sand-bar,Experienced surfers
261,NA,Riozinho,5.0,3,Right and left,Beach-break,Experienced surfers
262,NA,Joaquina,4.0,4,Left,Sand-bar,Experienced surfers
263,NA,Praia Mole,3.5,3,Right and left,Sand-bar,All surfers
264,NA,Galheta,3.5,4,Right and left,Beach-break,All surfers
265,NA,Barra da Lagoa,3.0,3,Right and left,Beach-break,Beginners wave
266,NA,Mocambique,3.5,4,Right and left,Beach-break,All surfers
267,NA,Ponta das Aranhas,3.5,4,Right and left,Beach-break,All surfers
268,NA,Santinho,3.5,4,Right and left,Beach-break,Experienced surfers
269,NA,Canasvieiras,3.5,1,Right,Sand-bar,All surfers
270,NA,Praia do Forte,3.5,1,Right,Point-break,All surfers
271,NA,Ingleses,3.0,2,Right and left,Beach-break,All surfers
272,NA,Praia Brava,3.5,3,Right and left,Beach-break,Experienced surfers
273,NA,Praia Brava,3.0,4,Right and left,Sand-bar,All surfers
274,NA,Lambe lambe,4.0,1,Right,Point-break,Experienced surfers
275,NA,Ponta Do Rapa,4.0,1,Right,Reef-rocky,Pros or kamikaze only...
276,NA,Tingua,3.5,1,Left,Beach-break,Experienced surfers
277,NA,Palmas,3.5,2,Right and left,Beach-break,Experienced surfers
278,NA,Mariscal,3.5,3,Right and left,Beach-break,All surfers
279,NA,Quatro Ilhas,3.5,3,Right,Point-break,Experienced surfers
280,NA,Bombinhas,2.0,2,Right and left,Beach-break,Beginners wave
281,NA,Bombas,3.0,2,Right and left,Beach-break,All surfers
282,NA,Meia Praia,3.0,3,Right and left,Sand-bar,All surfers
283,NA,Itapema,3.0,3,Right and left,Beach-break,All surfers
284,NA,Ponta do Cabeço,4.0,2,Left,Reef-rocky,Experienced surfers
285,NA,Mocó,4.0,2,Left,Reef-rocky,Experienced surfers
286,NA,Estaleirinho,3.0,4,Right and left,Beach-break,Pros or kamikaze only...
287,NA,Estaleiro (reef),3.5,2,Left,Reef-rocky,Experienced surfers
288,NA,Balneário Camboriú,3.0,3,Right and left,Beach-break,All surfers
289,NA,Parcel,4.0,1,Right and left,Reef-rocky,Pros or kamikaze only...
290,NA,Praia dos Amores,3.0,2,Right and left,Beach-break,Experienced surfers
291,NA,Praia Brava,3.0,3,Right and left,Beach-break,Experienced surfers
292,NA,Morcego,3.5,"NA",Left,Point-break,Pros or kamikaze only...
293,NA,Atalaia,3.5,2,Left,breakwater/jetty,All surfers
294,NA,Pracinha,3.5,4,Right and left,Beach-break,All surfers
295,NA,Navegantes,3.5,3,Right and left,Beach-break,All surfers
296,NA,Garrincha,3.0,2,Right and left,Sand-bar,Experienced surfers
297,NA,Gravatá (1 e 2),3.0,3,Right and left,Beach-break,All surfers
298,NA,Gravatá,3.0,3,Right and left,Beach-break,All surfers
299,NA,Quilombo,3.5,2,Left,Beach-break,All surfers
300,NA,Quilombo (reef),3.5,2,Right,Point-break,All surfers
301,NA,molhe de Piçarras,3.0,1,Right,Point-break,All surfers
302,NA,Laje do Jacques,4.0,2,Right and left,Reef-rocky,Experienced surfers
303,NA,Syphodys,3.0,2,Right and left,Beach-break,Experienced surfers
304,NA,ilha do grants,3.5,1,Left,Reef-rocky,Pros or kamikaze only...
305,NA,barra de Itajuba,3.0,1,Right,Point-break,All surfers
306,NA,Praia do Sol,2.0,3,Right and left,Point-break,All surfers
307,NA,Praia do Tabuleiro,3.0,2,Right and left,Beach-break,Beginners wave
308,NA,Canoas,2.0,3,Right and left,Beach-break,Beginners wave
309,NA,Barrinha,3.5,3,Right and left,Beach-break,All surfers
310,NA,Foz do Itapocu,3.0,3,Left,breakwater/jetty,All surfers
311,NA,Foz do Itapocu,3.5,4,Right and left,Beach-break,All surfers
312,NA,Praia do Bispo,3.0,4,Right and left,Beach-break,All surfers
313,NA,Picama,3.0,3,Right and left,Sand-bar,Experienced surfers
