objectid,name.x,surfline_n.x,normalized_heritage,normalized_priority,normalized_wsr,normalized_protected,normalized_bandeira,normalized_ramsar,response_added,response_index
176,Cocoa das Lavadeiras,NA,0,0,0,0,0,0,0,0
177,Baia das Ratas,NA,0.8033541823,0,0,0.7981475171,0,0.5457188123,2.1472205117,0.785012602
178,Volta da Jurema,NA,0,0.0845121119,0,0.0383616382,0,0,0.1228737501,0.0449220011
179,Portao,NA,0,0.0731488025,0,0.034308545,0,0,0.1074573475,0.0392858449
180,Barra do Ceara,NA,0,0.0890177847,0,0.0917598035,0,0,0.1807775882,0.0660913419
181,Praia do Pecem,NA,0,0.0632995533,0,0.1190280091,0,0,0.1823275624,0.0666580043
182,Tabinha,NA,0,0.0097160719,0,0.2618648543,0,0,0.2715809262,0.0992885679
183,Pedra do Meio,NA,0,0,0,0.0130445657,0,0,0.0130445657,0.0047690251
184,Havaizinho,NA,0,0,0,0.029568489,0,0,0.029568489,0.0108100851
185,Curral,NA,0,0,0,0.025258685,0,0,0.025258685,0.0092344433
186,Outside,NA,0,0,0,0.0340983542,0,0,0.0340983542,0.0124661802
187,Atins,NA,0,0,0,0.3645644553,0,0.6000029507,0.964567406,0.3526408047
188,Ponta d'Areia,NA,0,0,0,0.0730820639,0,0.9204687807,0.9935508446,0.3632369985
189,S&atilde;o Marcos,NA,0,0,0,0.0474411519,0,0.7105970696,0.7580382215,0.2771348138
190,Calhau,NA,0,0,0,0.0359569325,0,0.4176131444,0.4535700769,0.1658228507
191,Olho D'Agu,NA,0,0,0,0.0846676054,0,0.4680688826,0.552736488,0.2020775725
192,Ponta do Farol,NA,0,0,0,0.3826929148,0,0.7079985018,1.0906914166,0.3987510842
193,NA,NA,0,0.037847697,0,0,0,0,0.037847697,0.0138369203
194,NA,NA,0,0.0325139571,0,0,0,0,0.0325139571,0.0118869329
195,NA,NA,0,0.0465171822,0,7.103168e-4,0,0,0.047227499,0.0172661269
196,NA,NA,0,0.0513541524,0,0.0145437265,0,0,0.0658978789,0.0240919203
197,NA,NA,0,0.0183040928,0,0,0,0,0.0183040928,0.0066918807
198,NA,NA,0,0,0,0,0,0,0,0
199,NA,NA,0,0,0,0,0,0,0,0
200,NA,NA,0,0,0,0,0,0,0,0
201,NA,NA,0,0,0,0,0,0,0,0
202,NA,"Tramandai Pier, Northside",0,0,0,0,0,0,0,0
203,NA,NA,0,0,0,0,0,0,0,0
204,NA,NA,0,0,0,0,0,0,0,0
205,NA,NA,0,0,0,0,0,0,0,0
206,NA,NA,0,0,0,0,0,0,0,0
207,NA,NA,0,8.916966e-4,0,0,0,0,8.916966e-4,3.259996e-4
208,NA,NA,0,0.0305838644,0,0,0,0,0.0305838644,0.0111813011
209,NA,NA,0,0.3015528872,0,0.0332874549,0,0,0.3348403421,0.1224158799
210,NA,NA,0,0.1797023024,0,0.0335918841,0,0,0.2132941865,0.0779792403
211,NA,NA,0,0.1696706873,0,0.0335918841,0,0,0.2032625714,0.0743117343
212,NA,NA,0,0.1220028531,0,0.0335918841,0,0,0.1555947372,0.0568846231
213,NA,NA,0,0.1562603993,0,0.0335918841,0,0,0.1898522834,0.069409003
214,NA,NA,0,0.1530856211,0,0.0335918841,0,0,0.1866775052,0.0682483207
215,NA,NA,0,0.1249036328,0,0.0335918841,0,0,0.1584955169,0.057945133
216,NA,NA,0,0.1215121038,0,0.0335103666,0,0,0.1550224704,0.0566754053
217,NA,NA,0,0,0,0,0,0,0,0
218,NA,NA,0,9.195276e-4,0,4.113968e-4,0,0,0.0013309244,4.86579e-4
219,NA,NA,0,0,0,0,0,0,0,0
220,NA,NA,0,0,0,0.166669317,0,0,0.166669317,0.0609334316
221,NA,NA,0,0,0,0.4417290483,0,0,0.4417290483,0.1614938325
222,NA,NA,0,0,0,0.6369863144,0,0,0.6369863144,0.2328788689
223,NA,NA,0,0,0,0.6415988215,0,0,0.6415988215,0.2345651774
224,NA,NA,0,0,0,0.6250994079,0,0,0.6250994079,0.228533078
225,NA,NA,0,0,0,0.6035607939,0,0,0.6035607939,0.2206586733
226,NA,NA,0,0,0,0.6319699726,0,0,0.6319699726,0.2310449206
227,NA,NA,0,0,0,0.5087185928,0,0,0.5087185928,0.18598486
228,NA,NA,0,0,0,0.4948947142,0,0,0.4948947142,0.1809309222
229,NA,NA,0,0,0,0.4605491431,0,0,0.4605491431,0.1683743608
230,NA,NA,0,0,0,0.4467343779,0,0,0.4467343779,0.1633237548
231,NA,NA,0,0,0,0.4147562689,0,0,0.4147562689,0.1516327252
232,NA,NA,0,0,0,0.4759869585,0,0,0.4759869585,0.1740183455
233,NA,NA,0,0,0,0.4751237937,0,0,0.4751237937,0.1737027769
234,NA,NA,0,0,0,0.4186653576,0,0,0.4186653576,0.1530618676
235,NA,NA,0,0,0,0.4640297132,0,0,0.4640297132,0.1696468391
236,NA,NA,0,0,0,0.3627797198,0,0,0.3627797198,0.1326303704
237,NA,NA,0,0,0,0.4254355756,0,0,0.4254355756,0.155537024
238,NA,NA,0,0,0,0.4339805479,0,0,0.4339805479,0.1586610212
239,NA,NA,0,0,0,0.4421680762,0,0,0.4421680762,0.1616543388
240,NA,NA,0,0,0,0.4343151724,0,0,0.4343151724,0.1587833582
241,NA,NA,0,0,0,0.4155987466,0,0,0.4155987466,0.1519407307
242,NA,NA,0,0.0055014902,0,0.4071413452,0,0,0.4126428354,0.150860065
243,NA,NA,0,0.0152705418,0,0.424960285,0,0,0.4402308268,0.1609460905
244,NA,Silveira Garopaba,0,0.0365303474,0,0.4909968411,0,0,0.5275271885,0.1928611843
245,NA,NA,0,0.0517126383,0,0.4288575272,0,0,0.4805701655,0.175693942
246,NA,NA,0,0.2328363813,0.5858334332,0.4090614049,0,0,1.2277312194,0.4488521202
247,NA,NA,0,0.3045781341,0.997146346,0.4431494827,0,0,1.7448739628,0.6379168056
248,NA,Guarda do Embauacute,0,0.4138948257,1.0000000029,0.6576849386,0,0,2.0715797672,0.757358741
249,NA,Ponta da Pinheira,0,0.4566809295,1.0000000029,0.6246334497,0,0,2.0813143821,0.7609176653
250,NA,NA,0,0.3711864809,0.6829272385,0.5531132185,0,0,1.6072269379,0.5875937724
251,NA,NA,0,0.2946634737,0,0.4566838415,0,0,0.7513473152,0.2746886534
252,NA,NA,0,0.2958380838,0,0.4122157541,0,0,0.7080538379,0.2588607843
253,NA,NA,0,0.2531706818,0,0.3650191381,0,0,0.6181898199,0.2260069687
254,NA,NA,0,0.2703770931,0,0.2915134103,0,0,0.5618905034,0.2054242327
255,NA,NA,0,0.2855073403,0,0.2476222317,0,0,0.533129572,0.1949093865
256,NA,NA,0,0.2981242836,0,0.2095364746,0,0,0.5076607582,0.1855981212
257,NA,NA,0,0.3130098209,0,0.2017421703,0,0,0.5147519912,0.1881906389
258,NA,NA,0,0.3019321916,0,0.1787781416,0,0,0.4807103332,0.1757451866
259,NA,NA,0,0.2884847066,0,0.1701932139,0,0,0.4586779205,0.1676902516
260,NA,NA,0,0.3077986461,0,0.1484936996,0,0,0.4562923457,0.1668180979
261,NA,NA,0,0.321826658,0,0.1605369808,0,0,0.4823636388,0.1763496265
262,NA,NA,0,0.3097012244,0,0.1566569289,0,0,0.4663581533,0.1704981046
263,NA,NA,0,0.3569310215,0,0.174217328,0,0,0.5311483495,0.1941850619
264,NA,NA,0,0.3856293985,0,0.1766758132,0,0,0.5623052117,0.2055758479
265,NA,NA,0,0.2656645419,0,0.0985647738,0,0,0.3642293157,0.1331603351
266,NA,NA,0,0.2087587641,0,0.0765873086,0,0,0.2853460727,0.1043210335
267,NA,NA,0,0.2569707078,0,0.1330688974,0,0,0.3900396052,0.1425964421
268,NA,NA,0,0.2443600194,0,0.1699134757,0.3333333333,0,0.7476068284,0.273321151
269,NA,NA,0,0.2035007157,0,0.0650875879,0,0,0.2685883036,0.0981944807
270,NA,NA,0,0.1530776626,0,0.0466481693,0,0,0.1997258319,0.0730187208
271,NA,NA,0,0.1050110426,0,0.0321666751,0,0,0.1371777177,0.050151457
272,NA,NA,0,0.087966484,0,0.0269151126,0,0,0.1148815966,0.0420001116
273,NA,NA,0,0.1411249467,0,0.1113414823,0.3333333333,0,0.5857997623,0.2141653329
274,NA,NA,0,0.0676510492,0,0.0394885722,0.3333333333,0,0.4404729547,0.1610346112
275,NA,NA,0,0.1111415632,0,0.0278607585,1,0,1.1390023217,0.4164132987
276,NA,NA,0,0.1265901165,0,0.0418421733,1,0,1.1684322898,0.4271727413
277,NA,NA,0,0.0962468526,0,0.0234880897,1,0,1.1197349423,0.4093692454
278,NA,NA,0,0.0793494141,0,0.0018377986,1,0,1.0811872127,0.3952763969
279,NA,NA,0,0.0534737786,0,0.0766830503,0.6666666667,0,0.7968234956,0.2913145074
