objectid,name.x,surf_spot.x,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
145,Praia de Jatiuca,NA,0.0466786276,0,0,0.0466786276,0.0215852083
146,Garca Torta,NA,0.0311190851,0,0,0.0311190851,0.0143901389
147,Mirante da Sirena,NA,0.018671451,0,0,0.018671451,0.0086340833
148,Japaratinga,NA,0,0.0181818182,0,0.0181818182,0.0084076665
149,Impossivel,NA,0.0319386043,0,0,0.0319386043,0.0147691023
150,Serrambi,NA,0.0319386043,0.0181818182,0,0.0501204225,0.0231767688
151,Porto de Galinhas,NA,0.0319386043,0.2909090909,0,0.3228476952,0.149291766
152,Cupe,NA,0.0501130139,0.2909090909,0,0.3410221048,0.1576960066
153,Gaibu,NA,0.0329788934,0.0363636364,0,0.0693425298,0.0320654875
154,Bessa,NA,0.0441249295,0.2363636364,1,1.2804885659,0.5921256438
155,Saji,NA,0,0,0,0,0
156,Farol,NA,0,0.0181818182,0,0.0181818182,0.0084076665
157,Xilauzinho,NA,0.0089701448,0.0181818182,0,0.027151963,0.0125556557
158,Mar Aberto,NA,0.0059800965,0.0181818182,0,0.0241619147,0.0111729926
159,Pontal,NA,0.0059800965,0.0181818182,0,0.0241619147,0.0111729926
160,Mar da Frente,NA,0.065381207,0.0181818182,0,0.0835630252,0.0386413525
161,Lajinha,NA,0.065381207,0.4909090909,0,0.5562902979,0.2572406811
162,Afogados,NA,0.0523049656,0.5272727273,0,0.5795776929,0.2680092768
163,Sororoca,NA,0.0523049656,0.5272727273,0,0.5795776929,0.2680092768
164,Abacateiro,NA,0.0435874714,0.5272727273,0,0.5708601987,0.2639781187
165,Tibau do Sul,NA,0.075408309,0.5272727273,0,0.6026810363,0.2786927632
166,Tabatinga,NA,0.0890508159,0.4363636364,0,0.5254144523,0.2429630214
167,Xoxoline,NA,0.1335762238,0.4545454545,0,0.5881216783,0.2719602007
168,Pirangi Reef,NA,0.1335762238,0.4363636364,0,0.5699398602,0.2635525343
169,Cotovelo,NA,0.0988027669,0.6363636364,0,0.7351664033,0.339956866
170,Miami,NA,0.1135971526,0.5636363636,0,0.6772335162,0.3131674444
171,Areia Preta,NA,0.1135971526,0.5090909091,0,0.6226880617,0.287944445
172,Praia dos Artistas,NA,0.1179357751,0.3636363636,0,0.4815721387,0.2226893861
173,Genipabu,NA,0.094556548,0.0545454545,0,0.1491020025,0.068947995
174,Touros Area,NA,0,0.1636363636,0,0.1636363636,0.0756689983
175,Urca da Concei&ccedil;&atilde;o,NA,0,0,0,0,0
176,Cocoa das Lavadeiras,NA,0,0,0,0,0
177,Baia das Ratas,NA,0,0,1,1,0.4624216565
178,Volta da Jurema,NA,0.1625284757,1,1,2.1625284757,1
179,Portao,NA,0.0966027414,1,1,2.0966027414,0.9695145127
180,Barra do Ceara,NA,0.0966027414,0.5636363636,0,0.660239105,0.3053088606
181,Praia do Pecem,NA,0.0153385036,0.0727272727,0,0.0880657763,0.0407235222
182,Tabinha,NA,0,0,0,0,0
