objectid,normalized_built_area,normalized_human_mod,normalized_pop_change,normalized_ports,normalized_roads,added_pressure,pressure_index
253,0.0040463818,0.4317018537,0.1706331533,0,0.069753676,0.6761350648,0.1626801175
254,0.0103695678,0.4889708886,0.1227099377,0,0.1068439706,0.7288943647,0.1759017229
255,0.0239579863,0.5506582937,0.1227099377,0,0.143953751,0.8412799687,0.2040658211
256,0.0274022281,0.5809079572,0.1227099377,0,0.177349891,0.908370014,0.2208787451
257,0.0278338196,0.5892535677,0.1706331533,0,0.1823473208,0.9700678614,0.2363403716
258,0.0267384005,0.6331731434,0.1706331533,0,0.1891398353,1.0196845325,0.2487744268
259,0.0281266715,0.6507588695,0.1706331533,0,0.1953105618,1.0448292561,0.255075754
260,0.0792628201,0.7086787576,0.1706331533,0,0.2299570015,1.1885317325,0.2910879345
261,0.0651107492,0.6419087482,0.1706331533,0,0.1722931945,1.0499458452,0.2563579833
262,0.048689685,0.6157914479,0.1706331533,0,0.1402672324,0.9753815186,0.2376719867
263,0.0482980041,0.602277775,0.1706331533,0,0.1526641595,0.9738730919,0.2372939714
264,0.0140675861,0.5853384226,0.1706331533,0,0.1454300624,0.9154692244,0.2226578241
265,0.017484392,0.6834583892,0.1706331533,0,0.1794119243,1.0509878588,0.2566191144
266,0.021017747,0.7508744442,0.1706331533,0,0.1817478253,1.1242731698,0.2749845867
267,0.0322199666,0.6830771234,0.0868310337,0,0.2167288811,1.0188570048,0.2485670464
268,0.0234712155,0.5873665166,0.0651868731,0,0.1323498952,0.8083745004,0.1958196329
269,0.0234319136,0.7641300223,0.1706331533,0,0.1966370718,1.154832161,0.2826427422
270,0.024204548,0.7815080837,0.1706331533,0,0.1689733924,1.1453191774,0.280258766
271,0.0212764572,0.7915849052,0.1706331533,0,0.1474382864,1.1309328021,0.2766535063
272,0.0172828346,0.8072045474,0.1706331533,0,0.1286931937,1.123813729,0.2748694498
273,0.0099455649,0.515734257,0.0529227616,0,0.072878427,0.6514810105,0.1565017532
274,0.0039732457,0.5056683862,0.0632641648,0,0.0408409014,0.6137466981,0.1470454452
275,0.0196034382,0.5968296026,0.0118432488,0.0952380952,0.1197339446,0.8432483294,0.2045590969
276,0.0174237139,0.6024499374,0.0118432488,0.0952380952,0.1074809451,0.8344359404,0.2023506914
277,0.0183001298,0.5964714814,0.0118432488,0.0952380952,0.113096366,0.8349493212,0.2024793458
278,0.0208089811,0.6435876313,0.0222567176,0.0952380952,0.1336274252,0.9155188504,0.2226702605
279,0.0365701231,0.6053078351,0.0437025178,0.0952380952,0.2419504458,1.022769017,0.2495474059
280,0.0444342465,0.6275708259,0.0437025178,0.0476190476,0.2575080704,1.0208347082,0.2490626635
281,0.0458604587,0.6424266713,0.0437025178,0.0952380952,0.2481750363,1.0754027793,0.2627375512
282,0.0675586586,0.6871775093,0.0373734709,0.0952380952,0.2367068343,1.1240545683,0.2749298047
283,0.1843985164,0.7502312035,0.054393619,0.1428571429,0.2517446511,1.3836251329,0.3399788022
284,0.2189748362,0.7852944722,0.054393619,0.1428571429,0.2108707608,1.4123908311,0.3471875542
285,0.2715221298,0.7385771538,0.0573336043,0.1428571429,0.3124215156,1.5227115464,0.3748341864
286,0.2922512898,0.7767517925,0.0573336043,0.2380952381,0.3165290958,1.6809610205,0.414491879
287,0.3966455727,0.8206943829,0.0608960916,0.5238095238,0.3676815952,2.1697271662,0.5369778313
288,0.4161702285,0.8510239017,0.0608960916,0.6666666667,0.3704584211,2.3652153096,0.5859676224
289,0.4157697893,0.8636789238,0.0608960916,0.7142857143,0.3607278599,2.4153583789,0.5985335942
290,0.3520320985,0.8552484018,0.0519438235,0.7142857143,0.3599752141,2.3334852522,0.578015995
291,0.3082569598,0.8480343157,0.0519438235,0.7142857143,0.3590876125,2.2816084258,0.5650155396
292,0.2899875523,0.8427856324,0.05362486,0.7142857143,0.3528860548,2.2535698138,0.5579889971
293,0.2238204282,0.8129289242,0.0382386897,0.7619047619,0.3516219526,2.1885147566,0.5416860459
