id,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
494,0,0,1,1,0.4624216565
495,0,0,1,1,0.4624216565
496,0,0,1,1,0.4624216565
497,0,0,1,1,0.4624216565
498,0.1724907979,0.9818181818,1,2.1543089797,0.996199127
499,0.0966027414,1,1,2.0966027414,0.9695145127
500,0.0966027414,0.9818181818,1,2.0784209232,0.9611068462
501,0.1625284757,0.9818181818,0,1.1443466575,0.529170677
502,0.0966027414,0.0363636364,0,0.1329663778,0.0614865327
503,0.0153385036,0.1090909091,0,0.1244294127,0.0575388551
504,0,0,0,0,0
505,0.0039563216,0.0181818182,0,0.0221381398,0.0102371553
506,0.0052872395,0.0363636364,0,0.0416508759,0.019260267
507,0,0,0,0,0
508,0.0422074797,0,0,0.0422074797,0.0195176527
509,0,0,0,0,0
510,0,0,1,1,0.4624216565
537,0.0602099475,0,0,0.0602099475,0.0278423837
538,0,0,0,0,0
539,0.1181618237,0.0727272727,1,1.1908890964,0.5506929087
540,0.0381022377,0.1636363636,0,0.2017386013,0.0932882982
541,0.0211970494,0.0181818182,0,0.0393788676,0.0182096412
