OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,state,sci_10km,sci_5km,sci_1km,sci_wo_climate,nm_regiao,sum_10km,hab_10km,normalized_carbon,normalized_cp,climate_added,climate_index
6,5,Sul,NA,Mocambique,-27.51835,-48.39218333,NA,NA,NA,NA,NA,1,1,1,1,Santa Catarina,0.3294274971,0.3023225874,0.2225004704,0.3428217536,Sul,17994.1841259,0.169540787809,0.016155062,0.2409849245,0.2571399865,0.1623951682
268,267,Sul,Santa Catarina South,Ponta das Aranhas,-27.4821,-48.380892,3.5,4,Right and left,Beach-break,All surfers,2,4,1,3.5,Santa Catarina,0.487387732,0.500825671,0.5097643139,0.5529594701,Sul,5681.21506119,0.145169065057,0.0051005581,0.2063430083,0.2114435664,0.1335358767
269,268,Sul,Florianopolis,Santinho,-27.45794,-48.372631,3.5,4,Right and left,Beach-break,Experienced surfers,2,4,0,3.5,Santa Catarina,0.4026519124,0.4048778249,0.3161222143,0.4503958514,Sul,0,0.139597160253,0,0.1984231143,0.1984231143,0.1253128907
270,269,Sul,Florianopolis,Canasvieiras,-27.430966,-48.479662,3.5,1,Right,Sand-bar,All surfers,1,1,1,3.5,Santa Catarina,0.477883049,0.320206231,0.2670125374,0.4449548634,Sul,249381.0714,0.240968191362,0.2238927107,0.3425116879,0.5664043986,0.357709195
271,270,Sul,Florianopolis,Praia do Forte,-27.430747,-48.519659,3.5,1,Right,Point-break,All surfers,1,1,1,3.5,Santa Catarina,0.5082648603,0.3834629899,0.3635271715,0.449548753,Sul,247028.282564,0.32935792734,0.2217803922,0.4681486755,0.6899290677,0.43572043580000003
272,271,Sul,Florianopolis,Ingleses,-27.429833,-48.39057,3,2,Right and left,Beach-break,All surfers,2,2,1,3,Santa Catarina,0.4750120743,0.4772835589,0.4012698101,0.5431535713,Sul,3052.02251244,0.132048605461,0.002740086,0.1876936142,0.1904337002,0.1202672256
273,272,Sul,Florianopolis,Praia Brava,-27.400804,-48.413401,3.5,3,Right and left,Beach-break,Experienced surfers,2,3,0,3.5,Santa Catarina,0.3912803972,0.3880181996,0.3833446786,0.4451994862,Sul,6657.12937164,0.111900181788,0.0059767276,0.1590546865,0.1650314141,0.1042245689
274,273,Sul,Santa Catarina South,Praia Brava,-27.396441,-48.41413,3,4,Right and left,Sand-bar,All surfers,2,4,1,3,Santa Catarina,0.4513653776,0.4574142709,0.445621571,0.5214134389,Sul,4742.51325035,0.110542670773,0.0042577977,0.1571251232,0.1613829209,0.1019203856
7,6,Sul,NA,Ponta das Canas,-27.394819,-48.435709,NA,NA,NA,NA,NA,1,1,1,1,Santa Catarina,0.2244128116,0.2799239678,0.2265723803,0.2306066457,Sul,13332.5432644,0.122431117731,0.011969871,0.1740233371,0.1859932081,0.1174628603
275,274,Sul,Florianopolis,Lambe lambe,-27.387601,-48.433185,4,1,Right,Point-break,Experienced surfers,1,1,0,4,Santa Catarina,0.2642119278,0.328366001,0.2835927327,0.2827670628,Sul,7286.48430634,0.120190057373,0.0065417584,0.1708378985,0.1773796569,0.1120230253
276,275,Sul,Florianopolis,Ponta Do Rapa,-27.380837,-48.420525,4,1,Right,Reef-rocky,Pros or kamikaze only...,1,1,0,4,Santa Catarina,0.2614831841,0.3350122111,0.3285156477,0.28089723640000003,Sul,181.3938694,0.120659145896,1.628542e-4,0.17150466,0.1716675142,0.1084155569
277,276,Sul,Santa Catarina North,Tingua,-27.368166,-48.532501,3.5,1,Left,Beach-break,Experienced surfers,1,1,0,3.5,Santa Catarina,0.3752955166,0.385057021,0.4815380082,0.3491159269,Sul,0,0.313772996916,0,0.4459962877,0.4459962877,0.2816661972
278,277,Sul,Santa Catarina North,Palmas,-27.321984,-48.535452,3.5,2,Right and left,Beach-break,Experienced surfers,2,2,0,3.5,Santa Catarina,0.4444611403,0.4216734318,0.4302629276,0.4375282042,Sul,0,0.309050983801,0,0.439284428,0.439284428,0.2774273637
279,278,Sul,Santa Catarina North,Mariscal,-27.166504,-48.494833,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Santa Catarina,0.6604069754,0.6461227859,0.5280915978,0.7025179939,Sul,0,0.323013795352,0,0.4591311395,0.4591311395,0.2899614317
